,anime_id,title,title_english,genre
24,43,Ghost in the Shell,Ghost in the Shell,"Action, Sci-Fi, Police, Psychological, Mecha, Seinen"
25,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X: Trust and Betrayal,"Action, Historical, Drama, Romance, Martial Arts, Samurai"
26,45,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,"Action, Adventure, Comedy, Historical, Romance, Samurai"
27,46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Samurai X: The Motion Picture,"Samurai, Historical, Drama, Shounen"
28,47,Akira,AKIRA,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural"
29,48,.hack//Sign,.hack//Sign,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy"
30,49,Aa! Megami-sama!,Oh! My Goddess,"Comedy, Magic, Romance, Seinen, Supernatural"
31,50,Aa! Megami-sama! (TV),Ah! My Goddess,"Comedy, Supernatural, Magic, Romance, Seinen"
32,51,Tenshi Kinryouku,Angel Sanctuary,"Action, Drama, Romance, Shoujo, Supernatural"
33,52,Kidou Tenshi Angelic Layer,Battle Doll Angelic Layer,"Sci-Fi, Comedy, Sports, Drama, Shounen"
34,53,Ai Yori Aoshi,Ai Yori Aoshi,"Comedy, Drama, Harem, Romance, Slice of Life"
35,54,Appleseed (Movie),,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen"
36,55,Arc the Lad,,"Action, Adventure, Fantasy, Horror, Sci-Fi"
37,56,Avenger,,"Adventure, Fantasy, Sci-Fi, Shounen"
38,57,Beck,Beck: Mongolian Chop Squad,"Comedy, Drama, Music, Shounen, Slice of Life"
39,58,Blue Gender,Blue Gender,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama"
40,59,Chobits,Chobits,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen"
41,60,Chrno Crusade,Chrono Crusade,"Action, Historical, Demons, Supernatural, Romance"
42,61,D.N.Angel,D.N.Angel,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo"
43,62,D.C.: Da Capo,D.C.~Da Capo~,"Harem, Drama, Magic, Romance"
44,63,DearS,DearS,"Sci-Fi, Harem, Comedy, Romance, Ecchi"
45,64,Rozen Maiden,Rozen Maiden,"Action, Comedy, Drama, Magic, Seinen"
46,65,Rozen Maiden: Träumend,Rozen Maiden: Träumend,"Action, Comedy, Drama, Magic, Seinen"
47,66,Azumanga Daioh,Azumanga Daioh: The Animation,"Slice of Life, Comedy, School"
48,67,Basilisk: Kouga Ninpou Chou,Basilisk,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy"
49,68,Black Cat,Black Cat,"Adventure, Comedy, Sci-Fi, Shounen, Super Power"
50,69,Cluster Edge,,"Action, Fantasy, Military, Sci-Fi"
51,71,Full Metal Panic!,Full Metal Panic!,"Action, Military, Sci-Fi, Comedy, Mecha"
52,72,Full Metal Panic? Fumoffu,Full Metal Panic? Fumoffu,"Action, Comedy, School"
53,73,Full Metal Panic! The Second Raid,Full Metal Panic! The Second Raid,"Action, Military, Mecha"
54,74,Gakuen Alice,Gakuen Alice,"Comedy, School, Shoujo, Super Power"
55,75,Soukyuu no Fafner: Dead Aggressor,Fafner of the Blue Sky,"Action, Drama, Mecha, Military, Sci-Fi"
56,76,Mahou Shoujo Lyrical Nanoha,Magical Girl Lyrical Nanoha,"Action, Comedy, Drama, Magic, Super Power"
57,77,Mahou Shoujo Lyrical Nanoha A&#039;s,Magical Girl Lyrical Nanoha A&#039;s,"Action, Comedy, Drama, Magic, Super Power"
58,79,Shuffle!,Shuffle!,"Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School, Seinen"
59,80,Mobile Suit Gundam,Mobile Suit Gundam,"Action, Space, Mecha, Military, Sci-Fi"
60,81,Mobile Suit Gundam: The 08th MS Team,Mobile Suit Gundam: The 08th MS Team,"Military, Sci-Fi, Adventure, Drama, Romance, Mecha"
61,82,Mobile Suit Gundam 0080: War in the Pocket,Mobile Suit Gundam 0080: War in the Pocket,"Military, Sci-Fi, Space, Drama, Mecha"
62,83,Mobile Suit Gundam: The 08th MS Team - Miller&#039;s Report,,"Military, Sci-Fi, Drama, Romance, Mecha"
63,84,Mobile Suit Gundam 0083: Stardust Memory,Mobile Suit Gundam 0083: Stardust Memory,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha"
64,85,Mobile Suit Zeta Gundam,Mobile Suit Zeta Gundam,"Military, Sci-Fi, Space, Drama, Romance, Mecha"
65,86,Mobile Suit Gundam ZZ,Mobile Suit Gundam ZZ,"Space, Comedy, Mecha, Military, Drama, Sci-Fi"
66,87,Mobile Suit Gundam: Char&#039;s Counterattack,Mobile Suit Gundam: Char&#039;s Counterattack,"Military, Sci-Fi, Space, Drama, Mecha"
67,88,Mobile Suit Gundam F91,Mobile Suit Gundam F91,"Military, Sci-Fi, Space, Drama, Mecha"
68,89,Mobile Suit Victory Gundam,Mobile Suit V Gundam,"Military, Sci-Fi, Space, Drama, Mecha"
69,90,Mobile Suit Gundam Wing,Mobile Suit Gundam Wing,"Action, Military, Sci-Fi, Space, Drama, Mecha"
70,91,Mobile Suit Gundam Wing: Endless Waltz,Mobile Suit Gundam Wing: Endless Waltz,"Action, Drama, Mecha, Military, Sci-Fi, Space"
71,92,Kidou Shin Seiki Gundam X,After War Gundam X,"Sci-Fi, Adventure, Space, Drama, Mecha"
72,93,Mobile Suit Gundam SEED,Mobile Suit Gundam SEED,"Action, Space, Mecha, Romance, Military, Drama, Sci-Fi"
73,94,Mobile Suit Gundam SEED Destiny,,"Action, Space, Mecha, Romance, Military, Drama, Sci-Fi"
74,95,Turn A Gundam,∀ Gundam,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha"
75,96,Mobile Fighter G Gundam,Mobile Fighter G Gundam,"Sci-Fi, Adventure, Space, Comedy, Sports, Drama, Romance, Martial Arts, Mecha"
76,97,Last Exile,Last Exile,"Action, Sci-Fi, Adventure"
77,98,Mai-HiME,My-Hime,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai"
78,99,Mai-Otome,My-Otome,"Comedy, Drama, Fantasy, Magic"
79,100,Shin Shirayuki-hime Densetsu Prétear,Prétear: The New Legend of Snow White,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power"
80,101,Air,Air,"Slice of Life, Supernatural, Drama, Romance"
81,102,Aishiteruze Baby★★,,"Comedy, Drama, Romance, Shoujo"
82,103,Akazukin Chacha,Red Riding Hood Chacha,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo"
83,104,Ayashi no Ceres,"Ceres, Celestial Legend","Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo"
84,105,Boys Be...,Boys Be...,"Slice of Life, Comedy, Romance, Shounen"
85,106,Hana yori Dango,Hana Yori Dango,"Drama, Romance, School, Shoujo"
86,107,Ou Dorobou Jing,Jing: King of Bandits,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen"
87,108,Ou Dorobou Jing in Seventh Heaven,Jing: King of Bandits - Seventh Heaven,"Adventure, Fantasy, Psychological, Comedy, Shounen"
88,109,Bakuretsu Tenshi,Burst Angel,"Adventure, Comedy, Mecha, Sci-Fi"
89,110,Chuuka Ichiban!,,"Action, Comedy, Drama, Shounen"
90,111,Corrector Yui,Corrector Yui,"Sci-Fi, Adventure, Comedy, Magic"
91,112,Chou Henshin Cosprayers,The Cosmopolitan Prayers,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi"
92,113,Uchuu no Stellvia,Stellvia of the Universe,"Action, Romance, Sci-Fi, Space"
93,114,Sakigake!! Cromartie Koukou,Cromartie High School,"Comedy, School, Shounen"
94,115,El Hazard: The Alternative World,,"Adventure, Comedy, Fantasy"
95,116,El Hazard: The Wanderers,El-Hazard: The Wanderers,"Adventure, Comedy, Romance, Fantasy"
96,117,El Hazard: The Magnificent World,,"Adventure, Comedy, Fantasy, Romance"
97,118,El Hazard 2: The Magnificent World,,"Adventure, Comedy, Fantasy"
98,119,Final Approach,,"Comedy, Drama, Romance, Slice of Life"
99,120,Fruits Basket,Fruits Basket,"Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo"
100,121,Fullmetal Alchemist,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen"
101,122,Full Moon wo Sagashite,Searching for the Full Moon,"Music, Comedy, Supernatural, Drama, Romance, Shoujo"
102,123,Fushigi Yuugi,Mysterious Play,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo"
103,124,Fushigi Yuugi: Eikouden,Mysterious Play: Eikoden,"Adventure, Fantasy, Romance, Drama, Shoujo"
104,125,Futakoi,Twin Love,"Comedy, Romance, School"
105,126,Futakoi Alternative,,"Comedy, Drama, Romance"
106,127,Gate Keepers,,"Action, Comedy, Fantasy, Mecha, Sci-Fi, Shounen"
107,128,Gate Keepers 21,,"Action, Drama, Mecha, Sci-Fi, Shounen"
108,129,Gensoumaden Saiyuuki,Saiyuki,"Adventure, Comedy, Supernatural, Drama, Shounen"
109,130,Saiyuuki Reload,Saiyuki Reload,"Action, Adventure, Comedy, Drama, Fantasy, Josei"
110,131,Saiyuuki Reload Gunlock,Saiyuki Gunlock,"Action, Adventure, Comedy, Fantasy, Josei"
111,132,GetBackers,Getbackers,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural"
112,133,Green Green,Green Green,"Comedy, Ecchi, Romance, School, Slice of Life"
113,134,Gunslinger Girl,Gunslinger Girl,"Action, Psychological, Military, Drama, Sci-Fi"
114,135,Hikaru no Go,Hikaru no Go,"Comedy, Game, Shounen, Supernatural"
115,136,Hunter x Hunter,Hunter x Hunter,"Action, Adventure, Shounen, Super Power"
116,137,Hunter x Hunter: Yorkshin City Kanketsu-hen,,"Action, Adventure, Super Power, Shounen"
117,138,Hunter x Hunter: Greed Island,,"Action, Adventure, Shounen, Super Power"
118,139,Hunter x Hunter: Greed Island Final,,"Action, Adventure, Shounen, Super Power"
119,141,Jinki:Extend,Jinki: Extend,"Mecha, Sci-Fi"
120,142,Kamikaze Kaitou Jeanne,,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo"
121,143,Kannazuki no Miko,Destiny of the Shrine Maiden,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai"
122,144,Kanon,,"Drama, Romance, Slice of Life, Supernatural"
123,145,Kareshi Kanojo no Jijou,His and Her Circumstances,"Comedy, Drama, Romance, School, Shoujo, Slice of Life"
124,146,Kono Minikuku mo Utsukushii Sekai,This Ugly Yet Beautiful World,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi"
125,147,Kimi ga Nozomu Eien,Rumbling Hearts,"Drama, Romance, Slice of Life"
126,148,Kita e.: Diamond Dust Drops,Diamond Daydreams,"Drama, Romance, Slice of Life"
127,149,Loveless,Loveless,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai"
128,150,Blood+,Blood+,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire"
129,151,Re: Cutey Honey,,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai"
130,152,Solty Rei,,"Action, Sci-Fi, Super Power"
131,153,Juuni Kokuki,The Twelve Kingdoms,"Action, Adventure, Fantasy, Magic, Supernatural"
132,154,Shaman King,Shaman King,"Action, Adventure, Comedy, Supernatural, Drama, Shounen"
133,155,X/1999,X - The Movie,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural"
134,156,X,X,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo"
135,157,Mahou Sensei Negima!,Negima!,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural"
136,158,Maria-sama ga Miteru,Maria Watches Over Us,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai"
137,159,Boukyaku no Senritsu,The Melody of Oblivion,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural"
138,160,"Ima, Soko ni Iru Boku","Now and Then, Here and There","Adventure, Drama, Fantasy, Military, Sci-Fi"
139,161,Peace Maker Kurogane,Peace Maker Kurogane,"Action, Comedy, Historical, Samurai, Shounen"
140,162,Pita Ten,Pita-Ten,"Comedy, Fantasy, Kids, Romance, School, Shounen"
141,163,Power Stone,,"Adventure, Comedy, Fantasy, Historical, Shounen"
142,164,Mononoke Hime,Princess Mononoke,"Action, Adventure, Fantasy"
143,165,RahXephon,RahXephon,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi"
144,166,Samurai 7,Samurai 7,"Historical, Mecha, Samurai, Sci-Fi"
145,167,Scrapped Princess,Scrapped Princess,"Adventure, Comedy, Drama, Fantasy, Mecha, Sci-Fi, Shounen"
146,168,s.CRY.ed,s-CRY-ed,"Action, Sci-Fi, Adventure, Super Power, Drama"
147,169,Shingetsutan Tsukihime,Lunar Legend Tsukihime,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire"
148,170,Slam Dunk,Slam Dunk,"Comedy, Sports, Drama, School, Shounen"
149,171,Strange Dawn,,"Adventure, Drama, Fantasy"
150,173,Tactics,,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen"
151,174,Tenjou Tenge,Tenjho Tenge,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen"
152,175,Tokyo Underground,Tokyo Underground,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power"
153,176,Triangle Heart: Sweet Songs Forever,,"Adventure, Romance"
154,177,Tsubasa Chronicle,Tsubasa RESERVoir CHRoNiCLE,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen"
155,178,Ultra Maniac,Ultramaniac - Magical Girl,"Magic, Comedy, Romance, School, Shoujo"
156,179,Ultra Maniac OVA,,"Magic, Comedy, Romance, School"
157,180,Vandread,Vandread,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space"
158,181,Vandread: The Second Stage,,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space"
159,182,Tenkuu no Escaflowne,The Vision of Escaflowne,"Adventure, Psychological, Romance, Fantasy, Mecha, Shoujo"
160,183,Whistle!,,"School, Shounen, Sports"
161,184,Xenosaga The Animation,,"Action, Mecha, Sci-Fi, Shounen, Space"
162,185,Initial D First Stage,Initial D First Stage,"Action, Cars, Drama, Seinen, Sports"
163,186,Initial D Second Stage,Initial D Second Stage,"Action, Cars, Sports, Drama, Seinen"
164,187,Initial D Third Stage,,"Action, Cars, Sports, Drama, Romance, Seinen"
165,188,Gosenzo San&#039;e,Masquerade,"Comedy, Hentai, Mystery, Supernatural"
166,189,Love Hina,Love Hina,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life"
167,190,Love Hina Again,Love Hina Again,"Comedy, Drama, Ecchi, Romance, Shounen"
168,191,Love Hina Christmas Special: Silent Eve,Love Hina Christmas Movie,"Slice of Life, Comedy, Romance"
169,192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,Love Hina Spring Movie,"Adventure, Comedy, Romance"
170,193,Maburaho,Maburaho,"Comedy, Drama, Ecchi, Harem, Magic, Romance, School"
171,194,Macross Zero,Macross Zero,"Adventure, Mecha, Military, Sci-Fi, Shounen"
172,195,Onegai☆Teacher,Please Teacher!,"Sci-Fi, Comedy, Drama, Romance, School"
173,196,Onegai☆Twins,Please Twins,"Comedy, Drama, Harem, School, Sci-Fi"
174,197,Rizelmine,,"Sci-Fi, Comedy, Romance, Ecchi, School"
175,198,Speed Grapher,Speed Grapher,"Action, Mystery, Super Power"
176,199,Sen to Chihiro no Kamikakushi,Spirited Away,"Adventure, Supernatural, Drama"
177,200,Tenshi na Konamaiki,Cheeky Angel,"Comedy, Magic, Romance, Shounen"
178,201,Video Girl Ai,,"Comedy, Drama, Ecchi, Romance"
179,202,Wolf&#039;s Rain,Wolf&#039;s Rain,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi"
180,203,Words Worth,,"Adventure, Demons, Fantasy, Hentai, Magic"
181,204,Yumeria,,"Action, Comedy, Ecchi, Harem, Super Power"
182,205,Samurai Champloo,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen"
183,206,Lodoss-tou Senki: Eiyuu Kishi Den,Record of Lodoss War: Chronicles of the Heroic Knight,"Action, Adventure, Drama, Magic, Romance, Fantasy"
184,207,Lodoss-tou Senki,Record of Lodoss War,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural"
185,208,R.O.D OVA,R.O.D - Read or Die,"Action, Adventure, Historical, Magic, Mystery, Sci-Fi"
186,209,R.O.D the TV,R.O.D -The TV-,"Action, Adventure, Comedy, Drama, Sci-Fi, Super Power"
187,210,Ranma ½,Ranma ½,"Slice of Life, Comedy, Martial Arts, Fantasy"
188,211,Pure Mail,,Hentai
189,212,Project A-Ko,,"Action, Adventure, Comedy, Mecha, Sci-Fi, Super Power"
190,213,Pia Carrot e Youkoso!!,Welcome to Pia Carrot,"Comedy, Romance, Hentai"
191,214,Pia Carrot e Youkoso!! 2,Welcome To Pia Carrot 2,"Comedy, Romance, Hentai"
192,215,Pia Carrot e Youkoso!! 2 DX,,"Comedy, Romance"
193,216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,Welcome to Pia Carrot! Sayaka&#039;s Love Story,"Comedy, Romance"
194,217,Shin Angel,New Angel,"Comedy, Drama, Hentai, Romance"
195,218,Kidou Senkan Nadesico,Martian Successor Nadesico,"Action, Comedy, Mecha, Military, Parody, Romance, Sci-Fi, Shounen, Space"
196,219,Kidou Senkan Nadesico: The Prince of Darkness,Martian Successor Nadesico: The Prince of Darkness,"Action, Comedy, Drama, Mecha, Psychological, Sci-Fi, Shounen, Space"
197,220,Kuro no Danshou,Mystery of the Necronomicon,"Hentai, Horror"
198,221,Mezzo Forte,,"Action, Comedy, Hentai, Sci-Fi"
199,222,Mezzo DSA,,"Action, Adventure, Comedy, Mystery, Sci-Fi"
200,223,Dragon Ball,Dragon Ball,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
201,225,Dragon Ball GT,Dragon Ball GT,"Action, Adventure, Comedy, Fantasy, Magic, Sci-Fi, Shounen, Super Power"
202,226,Elfen Lied,Elfen Lied,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen"
203,227,FLCL,FLCL,"Action, Sci-Fi, Comedy, Parody, Dementia, Psychological, Mecha"
204,228,Jigoku Shoujo,Hell Girl,"Mystery, Horror, Psychological, Supernatural"
205,229,Ninin ga Shinobuden,Ninja Nonsense,"Comedy, Parody, Martial Arts"
206,230,Air Master,Air Master,"Action, Comedy, Martial Arts, Seinen"
207,231,Asagiri no Miko,Shrine of the Morning Mist,"Action, Comedy, Drama, Fantasy, Magic, School, Sci-Fi, Shounen, Slice of Life, Super Power, Supernatural"
208,232,Cardcaptor Sakura,Cardcaptor Sakura,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo"
209,233,Daa! Daa! Daa!,,"Comedy, Sci-Fi, Shoujo"
210,234,Dan Doh!!,,"Adventure, Sports, Shounen"
211,235,Detective Conan,Case Closed,"Adventure, Mystery, Comedy, Police, Shounen"
212,236,E&#039;s Otherwise,E&#039;s Otherwise,"Adventure, Comedy, Drama, Military, Sci-Fi, Shounen, Supernatural"
213,237,Eureka Seven,Eureka Seven,"Sci-Fi, Adventure, Drama, Romance, Mecha"
214,238,Rekka no Honoo,Flame of Recca,"Action, Adventure, Martial Arts, Shounen, Super Power"
215,239,Gankutsuou,Gankutsuou: The Count of Monte Cristo,"Drama, Mystery, Sci-Fi, Supernatural, Thriller"
216,240,Genshiken,Genshiken,"Slice of Life, Comedy, Parody"
217,241,Girls Bravo: First Season,Girls Bravo,"Comedy, Ecchi, Fantasy, Harem, Romance, School"
218,242,Gokusen,The Gokusen,"Slice of Life, Comedy, Drama, School, Josei"
219,243,Gravitation,Gravitation,"Comedy, Music, Romance, Shoujo, Shounen Ai"
220,244,Agatha Christie no Meitantei Poirot to Marple,Agatha Christie&#039;s Great Detectives Poirot and Marple,"Historical, Mystery"
221,245,Great Teacher Onizuka,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life"
222,246,Groove Adventure Rave,Rave Master,"Adventure, Comedy, Fantasy, Romance, Shounen"
223,247,Harukanaru Toki no Naka de: Hachiyou Shou,Haruka: Beyond the Stream of Time – A Tale of the Eight Guardians,"Fantasy, Magic, Supernatural, Demons, Historical, Shoujo"
224,248,Ichigo 100%,Strawberry 100%,"Comedy, Ecchi, Harem, Romance, Shounen"
225,249,InuYasha,InuYasha,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen"
226,250,Konjiki no Gash Bell!!,Zatch Bell!,"Adventure, Comedy, Supernatural, Magic, Shounen"
227,251,Kyou kara Maou!,King From Now On!,"Adventure, Comedy, Demons, Fantasy, Shoujo"
228,252,Madlax,,"Military, Mystery, Psychological, Supernatural, Drama, Magic, Shounen"
229,253,Jungle wa Itsumo Hare nochi Guu,Haré+Guu,"Slice of Life, Comedy, School"
230,254,Jungle wa Itsumo Hare nochi Guu Deluxe,Haré+Guu Deluxe,"Comedy, Slice of Life"
231,255,Jungle wa Itsumo Hare nochi Guu Final,,"Slice of Life, Comedy"
232,256,Hoshi no Koe,Voices of a Distant Star,"Sci-Fi, Space, Drama, Romance, Mecha"
233,257,Ikkitousen,Ikki Tousen,"Ecchi, Super Power, Martial Arts, School"
234,258,Hitsuji no Uta,,"Horror, Drama, Vampire"
235,259,Happy☆Lesson,,"Comedy, Harem, Romance, School"
236,260,Happy☆Lesson (TV),,"Comedy, Drama, Harem, Romance, Slice of Life"
237,261,Happy☆Lesson: Advance,,"Comedy, Harem, Romance, Slice of Life"
238,262,Happy☆Lesson: The Final,,"Comedy, Harem, Romance, School"
239,263,Hajime no Ippo,Fighting Spirit,"Comedy, Sports, Drama, Shounen"
240,264,Hajime no Ippo: Champion Road,Fighting Spirit: Champion Road,"Comedy, Shounen, Sports"
241,265,Hajime no Ippo: Mashiba vs. Kimura,,"Comedy, Shounen, Sports"
242,266,Gunparade March: Arata Naru Kougunka,Gunparade March: A New Song for the March,"Drama, Mecha, Military, Romance, Sci-Fi, Shounen, Slice of Life"
243,267,Gungrave,Gungrave,"Action, Drama, Sci-Fi, Seinen, Super Power"
244,268,Golden Boy,Golden Boy,"Adventure, Comedy, Ecchi"
245,269,Bleach,Bleach,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
246,270,Hellsing,Hellsing,"Action, Horror, Supernatural, Vampire, Seinen"
247,271,Gad Guard,,"Sci-Fi, Adventure, Mecha, Shounen"
248,272,Noir,Noir,"Action, Mystery, Drama"
249,273,Mahoutsukai ni Taisetsu na Koto,Someday&#039;s Dreamers,"Slice of Life, Drama, Magic, Shounen"
250,274,Kiddy Grade,Kiddy Grade,"Action, Sci-Fi, Super Power, Ecchi, Mecha"
251,275,Love♥Love?,Love♥Love?,"Ecchi, Comedy, Harem, Romance"
252,276,Mahoromatic: Automatic Maiden,Mahoromatic: Automatic Maiden,"Comedy, Ecchi, Military, Romance, Sci-Fi"
253,277,Mahoromatic 2,Mahoromatic ~Something More Beautiful~,"Comedy, Drama, Ecchi, Military, Romance, Sci-Fi"
254,278,Viewtiful Joe,,"Action, Sci-Fi, Comedy, Shounen"
255,279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,Requiem from the Darkness,"Fantasy, Historical, Horror, Mystery, Psychological, Supernatural"
256,280,Animal Yokochou,Animal Lane,"Adventure, Comedy, Fantasy, Shoujo"
257,281,Akane Maniax,,"Comedy, Mecha, Romance"
258,282,Angel Heart,,"Action, Mystery, Drama, Romance, Seinen"
259,283,Akage no Anne,Anne of Green Gables,"Slice of Life, Historical, Drama"
260,284,Area 88 (TV),,"Action, Drama, Military, Romance, Shounen"
261,285,Argento Soma,,"Action, Adventure, Drama, Mecha, Military, Sci-Fi"
262,286,B&#039;T X,,"Adventure, Mecha, Sci-Fi, Shounen"
263,287,Grappler Baki (TV),,"Action, Sports, Martial Arts, Shounen"
264,288,Bakuten Shoot Beyblade,Beyblade,"Action, Sci-Fi, Adventure, Comedy, Sports, Shounen"
265,289,Comic Party,Comic Party,"Comedy, Drama"
266,290,Seikai no Monshou,Crest of the Stars,"Action, Military, Sci-Fi, Space, Romance"
267,291,D.C.S.S: Da Capo Second Season,D.C.S.S. ~Da Capo Second Season~,"Comedy, Harem, Romance, Supernatural, Drama"
268,292,Dear Boys,Hoop Days,"Drama, Shounen, Sports"
269,293,Di Gi Charat,,"Comedy, Fantasy, Sci-Fi"
270,294,Divergence Eve,,"Adventure, Comedy, Drama, Mecha, Military, Sci-Fi, Space"
271,295,Divergence Eve 2: Misaki Chronicles,Misaki Chronicle: Divergence Eve,"Adventure, Drama, Mecha, Military, Sci-Fi, Space"
272,296,Dragon Drive,Dragon Drive,"Action, Sci-Fi, Adventure, Comedy, Fantasy, School, Shounen"
273,297,Grenadier: Hohoemi no Senshi,Grenadier: The Beautiful Warrior,"Action, Ecchi, Adventure, Comedy, Shounen"
